Lon       Lat      Dep  Vel  Mag      Fast
98.500000 27.500000 150 4.556 0.007491 79.081646
98.500000 28.000000 0 3.216 0.022968 -10.475045
98.500000 28.000000 5 3.294 0.016369 -17.713801
98.500000 28.000000 10 3.452 0.016409 -12.088488
98.500000 28.000000 15 3.450 0.012720 -0.759581
98.500000 28.000000 20 3.458 0.009931 14.272233
98.500000 28.000000 25 3.460 0.008749 24.276986
98.500000 28.000000 30 3.490 0.006943 25.630666
98.500000 28.000000 35 3.568 0.004667 16.704840
98.500000 28.000000 40 3.669 0.003939 -6.622690
98.500000 28.000000 45 3.773 0.005680 -24.572483
98.500000 28.000000 50 3.870 0.007944 -32.589675
98.500000 28.000000 55 3.957 0.009829 -37.115407
98.500000 28.000000 60 4.033 0.011184 -40.340605
98.500000 28.000000 65 4.094 0.010721 -42.381471
98.500000 28.000000 70 4.521 0.019913 -45.140266
98.500000 28.000000 80 4.668 0.018717 -49.491045
98.500000 28.000000 90 4.674 0.015962 -54.670428
98.500000 28.000000 100 4.668 0.012714 -61.199272
98.500000 28.000000 110 4.652 0.010013 -69.499103
98.500000 28.000000 120 4.633 0.008279 -79.087901
98.500000 28.000000 130 4.614 0.007395 -88.372338
98.500000 28.000000 140 4.595 0.006959 84.018945
98.500000 28.000000 150 4.578 0.006637 78.300933
98.500000 28.500000 0 3.170 0.020504 -11.128125
98.500000 28.500000 5 3.243 0.016540 -22.533710
98.500000 28.500000 10 3.426 0.018327 -16.356362
98.500000 28.500000 15 3.418 0.013211 -1.955123
98.500000 28.500000 20 3.439 0.010666 20.640918
98.500000 28.500000 25 3.466 0.011277 34.351632
98.500000 28.500000 30 3.507 0.010013 38.621982
98.500000 28.500000 35 3.570 0.006671 37.635975
98.500000 28.500000 40 3.633 0.002646 25.868776
98.500000 28.500000 45 3.692 0.002708 -29.354213
98.500000 28.500000 50 3.750 0.006157 -41.466539
98.500000 28.500000 55 3.810 0.009023 -45.844745
98.500000 28.500000 60 3.880 0.009722 -48.106767
98.500000 28.500000 65 4.306 0.009812 -50.035973
98.500000 28.500000 70 4.403 0.021842 -54.032850
98.500000 28.500000 80 4.452 0.022033 -59.156397
98.500000 28.500000 90 4.550 0.019924 -64.261669
98.500000 28.500000 100 4.625 0.017147 -69.714984
98.500000 28.500000 110 4.670 0.014480 -75.619772
98.500000 28.500000 120 4.687 0.012261 -81.829680
98.500000 28.500000 130 4.685 0.010537 -87.991302
98.500000 28.500000 140 4.671 0.009206 86.282528
98.500000 28.500000 150 4.649 0.008133 81.238604
99.000000 23.500000 0 3.158 0.009319 33.625020
99.000000 23.500000 5 3.132 0.002533 29.122738
99.000000 23.500000 10 3.342 0.004901 18.315858
99.000000 23.500000 15 3.447 0.008322 17.672725
99.000000 23.500000 20 3.539 0.009123 20.375976
99.000000 23.500000 25 3.646 0.007648 26.463852
99.000000 23.500000 30 3.782 0.005680 37.809521
99.000000 23.500000 35 3.933 0.004370 50.525420
99.000000 23.500000 40 4.344 0.003997 64.364543
99.000000 23.500000 45 4.429 0.004472 79.135283
99.000000 23.500000 50 4.395 0.004898 -88.838917
99.000000 23.500000 55 4.359 0.005111 -78.429907
99.000000 23.500000 60 4.330 0.005235 -68.990885
99.000000 23.500000 65 4.310 0.005413 -59.915719
99.000000 23.500000 70 4.194 0.011359 -48.023993
99.000000 23.500000 80 4.102 0.011723 -36.296821
99.000000 23.500000 90 4.158 0.011472 -27.714396
99.000000 23.500000 100 4.228 0.010971 -20.865458
99.000000 23.500000 110 4.293 0.010328 -15.280001
99.000000 23.500000 120 4.347 0.009597 -10.715427
99.000000 23.500000 130 4.390 0.008806 -7.003937
99.000000 23.500000 140 4.421 0.007979 -4.004369
99.000000 23.500000 150 4.444 0.007138 -1.591255
99.000000 24.000000 0 3.117 0.006741 16.893208
99.000000 24.000000 5 3.059 0.004046 17.680199
99.000000 24.000000 10 3.305 0.006151 16.702106
99.000000 24.000000 15 3.476 0.007321 9.636971
99.000000 24.000000 20 3.580 0.006432 4.486458
99.000000 24.000000 25 3.635 0.004162 1.940682
99.000000 24.000000 30 3.696 0.001842 3.759282
99.000000 24.000000 35 3.798 0.000664 20.851401
99.000000 24.000000 40 4.209 0.000688 51.471644
99.000000 24.000000 45 4.300 0.000645 66.210355
99.000000 24.000000 50 4.281 0.000291 -66.221332
99.000000 24.000000 55 4.274 0.001188 -37.011493
99.000000 24.000000 60 4.276 0.002290 -33.095905
